id,brand,fdacode,zipcode,street,country,tzone
580,Zydus Pharmaceuticals (USA) Inc.,68382-196,,3 Luster Terrace,China,Asia/Shanghai
581,HART Health,50332-0032,675 01,2 Esch Alley,Czech Republic,Europe/Prague
582,"Lupin Pharmaceuticals, Inc.",68180-303,373 41,683 Ilene Center,Czech Republic,Europe/Prague
583,"Par Pharmaceutical, Inc.",49884-211,,03 Carey Street,China,Asia/Shanghai
584,"Medline Industries, Inc.",53329-804,999-5313,75623 Bunker Hill Plaza,Japan,Asia/Tokyo
585,Rebel Distributors Corp,21695-966,,7 Warbler Court,China,Asia/Chongqing
586,"Watson Laboratories, Inc.",0591-0240,7940-374,42041 Stang Point,Portugal,Europe/Lisbon
587,Uriel Pharmacy Inc.,48951-4018,,06 South Terrace,China,Asia/Shanghai
588,"Safeway, Inc.",21130-036,59009,995 Coleman Park,Lithuania,Europe/Vilnius
589,Hyland's,54973-3109,,7350 Oxford Circle,China,Asia/Chongqing
590,"Physicians Total Care, Inc.",54868-5581,,875 Helena Place,China,Asia/Chongqing
591,St. Marys Medical Park Pharmacy,60760-911,4765-190,2126 Lien Terrace,Portugal,Europe/Lisbon
592,Fischer Pharmaceuticlas Ltd.,59886-413,77224 CEDEX,0777 Bluejay Center,France,Europe/Paris
593,Kramer Novis,52083-057,741-0062,2 Lotheville Park,Japan,Asia/Tokyo
594,"ILEX Consumer Products Group, LLC (ST. JOSEPH)",76000-370,93584,07144 Mifflin Avenue,United States,America/Los_Angeles
595,Ranbaxy Pharmaceuticals Inc.,63304-790,,435 Commercial Court,Georgia,Asia/Tbilisi
596,PD MERC LLC,50211-001,67024 CEDEX 1,8826 East Junction,France,Europe/Paris
597,"Harris Pharmaceutical, Inc.",67405-110,3405-077,11 Sauthoff Drive,Portugal,Europe/Lisbon
598,"Rodan & Fields, LLC",14222-2000,201018,303 Bobwhite Crossing,Colombia,America/Bogota
599,Unit Dose Services,50436-0172,,9 Lotheville Hill,China,Asia/Shanghai
600,Apotheca Company,57520-0271,,11 Lighthouse Bay Junction,China,Asia/Shanghai
601,Kroger Company,30142-202,K6A,5 Little Fleur Point,Canada,America/Vancouver
602,B. Braun Medical Inc.,0264-7389,,7 Russell Place,China,Asia/Chongqing
603,Bristol-Myers Squibb Company,0087-6060,,38 Karstens Lane,China,Asia/Harbin
604,Family Dollar,55319-042,,28129 Esch Parkway,China,Asia/Chongqing
605,"Libertas Pharma, Inc.",51862-162,,558 Burrows Plaza,Ukraine,Europe/Kiev
606,Mylan Pharmaceuticals Inc.,0378-1430,,66764 Farmco Park,China,Asia/Shanghai
607,KJI Industrial Co Ltd,34690-6001,,96 Old Shore Pass,China,Asia/Chongqing
608,Sandoz Inc,0781-3094,,7316 Farragut Drive,China,Asia/Chongqing
609,Sanum Kehlbeck GmbH & Co. KG,60681-0104,,7679 Oneill Terrace,China,Asia/Shanghai
610,Qualitest Pharmaceuticals,0603-5091,,20 Center Junction,China,Asia/Shanghai
611,Cardinal Health,55154-5082,68092 CEDEX 2,48304 Meadow Vale Point,France,Europe/Paris
612,Energizer Personal Care LLC,63354-291,R51,50029 Crownhardt Trail,Ireland,Europe/Dublin
613,Amway Corp,50390-111,,09942 Bartillon Way,Singapore,Asia/Singapore
614,"SJ Creations, Inc.",43269-750,,11 Lyons Pass,China,Asia/Chongqing
615,"Professional Disposables International, Inc.",10819-5813,,5 Kenwood Lane,Latvia,Europe/Riga
616,State of Florida DOH Central Pharmacy,53808-0223,,7032 Merchant Lane,China,Asia/Shanghai
617,ENCHANTE ACCESSORIES INC.,50563-183,763 26,32225 Kim Point,Czech Republic,Europe/Prague
618,"Upsher-Smith Laboratories, Inc.",0245-0423,3543,76 Hovde Court,New Zealand,Pacific/Auckland
619,Jubilant HollisterStier LLC,65044-2860,,83685 Comanche Terrace,Israel,Asia/Jerusalem
620,Precision Dose Inc.,68094-650,,116 Morningstar Place,China,Asia/Chongqing
621,Family Dollar,55319-310,V9J,2437 West Place,Canada,America/Montreal
622,Bryant Ranch Prepack,63629-4521,05-270,79697 Jana Street,Poland,Europe/Warsaw
623,Sancilio & Company Inc,44946-1012,22179,4 Rigney Way,Germany,Europe/Berlin
624,H E B,37808-097,,00691 Dottie Junction,Ukraine,Europe/Simferopol
625,"Hospira, Inc",0409-7332,,55 Karstens Avenue,China,Asia/Chongqing
626,Western Family Foods Inc,55312-096,3600-587,0 Susan Street,Portugal,Europe/Lisbon
627,Ricola Ag,54305-175,,5729 Division Street,China,Asia/Shanghai
628,"Galderma Laboratories, L.P.",0299-3839,,47 Linden Court,China,Asia/Chongqing
629,Boots Retail USA Inc,68472-075,1097,2311 Mosinee Park,Hungary,Europe/Budapest
630,Meijer Distribution Inc,41250-517,,68249 Macpherson Way,China,Asia/Harbin
631,"Hospira, Inc.",0409-4051,,2160 Nelson Place,China,Asia/Harbin
632,Supervalu Inc,41163-958,SY4,9205 Norway Maple Circle,United Kingdom,Europe/London
633,DIRECT RX,61919-100,95-036,239 Eagle Crest Alley,Poland,Europe/Warsaw
634,REMEDYREPACK INC.,52125-405,,1676 Washington Street,China,Asia/Shanghai
635,"Medline Industries, Inc.",53329-827,,0 Blue Bill Park Parkway,China,Asia/Chongqing
636,Topco Associates LLC,36800-337,,82391 Pierstorff Junction,China,Asia/Chongqing
637,Energetix Corp,64578-0091,,4578 Mifflin Circle,China,Asia/Shanghai
638,"Nelco Laboratories, Inc.",36987-1102,503 21,6185 Victoria Center,Czech Republic,Europe/Prague
639,"Antigen Laboratories, Inc.",49288-0083,4850-194,7 1st Parkway,Portugal,Europe/Lisbon
640,B. Braun Medical Inc.,0264-7703,,14 Coleman Point,China,Asia/Shanghai
641,Valeant Pharmaceuticals North America LLC,0187-1617,939-1733,69807 Burning Wood Drive,Japan,Asia/Tokyo
642,HOMEOLAB USA INC.,60512-0004,,3821 John Wall Hill,China,Asia/Chongqing
643,Morgan Gallacher Inc.,50241-014,,83805 Bunker Hill Terrace,China,Asia/Shanghai
644,"Nelco Laboratories, Inc.",36987-1751,,56074 Basil Alley,China,Asia/Chongqing
645,Unit Dose Services,50436-5559,,5 Transport Road,China,Asia/Shanghai
646,Orchid Healthcare (a division of Orchid Chemicals & Pharmaceuticals Ltd.),68820-106,,0 Haas Terrace,Western Sahara,Africa/El_Aaiun
647,Supervalu Inc,41163-707,,28484 Sutteridge Circle,Ukraine,Europe/Zaporozhye
648,Cardinal Health,55154-2085,50700,093 Jenna Trail,Malaysia,Asia/Kuala_Lumpur
649,HyVee Inc,42507-839,06127,282 Arkansas Park,United States,America/New_York
650,Sagent Pharmaceticals,25021-402,73031 CEDEX,02256 Pleasure Circle,France,Europe/Paris
651,Amerisource Bergen,46122-200,3400-759,092 Bobwhite Park,Portugal,Europe/Lisbon
652,RITE AID CORPORATION,11822-9017,,1 Sunbrook Point,China,Asia/Chongqing
653,West-ward Pharmaceutical Corp.,0641-6072,1532,623 Memorial Way,Denmark,Europe/Copenhagen
654,McKesson Contract Packaging,76237-152,79309 CEDEX,4297 Grim Pass,France,Europe/Paris
655,Sesvalia USA LLC,63181-0010,,28116 Elka Circle,China,Asia/Shanghai
656,China Ningbo Shangge Cosmetic Technology Corp,58503-040,20359,4 Kenwood Center,Germany,Europe/Berlin
657,Uriel Pharmacy Inc.,48951-7116,,184 Toban Center,China,Asia/Shanghai
658,Washington Homeopathic Products,68428-742,,7 Morningstar Plaza,China,Asia/Chongqing
659,"Preferred Pharmaceuticals, Inc.",68788-9920,01673,390 Dennis Trail,Malaysia,Asia/Kuala_Lumpur
660,"ORLANE, Inc.",65371-030,,2 Morningstar Plaza,China,Asia/Harbin
661,"Physicians Total Care, Inc.",54868-2841,2485-203,28 West Place,Portugal,Europe/Lisbon
662,"NCS HealthCare of KY, Inc dba Vangard Labs",0615-7755,783 73,00367 Daystar Terrace,Czech Republic,Europe/Prague
663,"GOJO Industries, Inc.",21749-150,,513 Golf Parkway,China,Asia/Shanghai
664,Vistakon Pharmaceuticals LLC,68669-525,,00 Fairfield Park,Georgia,Asia/Tbilisi
665,REMEDYREPACK INC.,24236-754,61105,1829 Farwell Avenue,United States,America/Chicago
666,Cantrell Drug Company,52533-074,,763 High Crossing Point,Ukraine,Europe/Uzhgorod
667,Sandoz Inc,0781-1228,4808,11032 Karstens Park,Norway,Europe/Oslo
668,Cardinal Health,55154-7206,,83640 Luster Junction,China,Asia/Chongqing
669,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,35356-619,,62452 Moulton Alley,China,Asia/Shanghai
670,Mylan Institutional LLC,67457-215,75270 CEDEX 06,132 Forest Run Drive,France,Europe/Paris
671,Jafra Cosmetics International Inc,68828-100,1028,752 Little Fleur Court,Australia,Australia/Sydney
672,Major Pharmaceuticals,0904-5952,4004,885 Monument Hill,Hungary,Europe/Budapest
673,"Mallinckrodt, Inc.",0406-0359,794-2550,4279 Waywood Street,Japan,Asia/Tokyo
674,E. Fougera & Co. a division of Fougera Pharmaceuticals Inc.,0168-0522,,47 International Alley,China,Asia/Chongqing
675,Bryant Ranch Prepack,63629-4383,,1157 Anderson Avenue,China,Asia/Chongqing
676,Cardinal Health,55154-5066,,7539 Autumn Leaf Junction,China,Asia/Chongqing
677,Bryant Ranch Prepack,63629-4762,29505,684 Straubel Place,United States,America/New_York
678,"Trinity Pharmaceuticals, LLC",54295-312,,71103 Di Loreto Alley,South Korea,Asia/Seoul
679,Stat Rx USA,16590-244,36104 CEDEX,9 Manitowish Alley,France,Europe/Paris
680,"NATURE REPUBLIC CO., LTD.",51346-231,46025,4872 Cascade Alley,Spain,Europe/Madrid
681,"Physicians Total Care, Inc.",54868-6136,2490-105,4546 Nelson Court,Portugal,Europe/Lisbon
682,Acme United Corporation,0924-0140,2655-082,29 Fisk Crossing,Portugal,Europe/Lisbon
683,"Allegis Pharmaceuticals, LLC",28595-803,43-354,20 Mesta Court,Poland,Europe/Warsaw
684,Ranbaxy Pharmaceuticlas Inc,63304-205,,8 Parkside Road,China,Asia/Chongqing
685,Merck Sharp & Dohme Corp.,0006-0960,,29550 Anzinger Way,China,Asia/Shanghai
686,Foodhold,41520-041,,96 Talisman Center,China,Asia/Harbin
687,Procter & Gamble Manufacturing Company,37000-775,,17227 Northview Point,China,Asia/Chongqing
688,SAFEWAY INC.,21130-461,664028,6 Burrows Hill,Colombia,America/Bogota
689,"Nico Worldwide, Inc.",42638-7663,47240,1 Loomis Place,Croatia,Europe/Sarajevo
690,American Sales Company,41520-384,T7Z,39452 Cody Circle,Canada,America/Montreal
691,Lake Erie Medical DBA Quality Care Products LLC,35356-881,382 73,7397 Northland Court,Czech Republic,Europe/Vienna
692,Lead Chemical Co. Ltd.,62168-0843,761517,305 Iowa Place,Colombia,America/Bogota
693,"Medline Industries, Inc.",53329-065,904-0401,0 Dahle Place,Japan,Asia/Tokyo
694,"TONYMOLY CO., LTD.",59078-014,,73 Crescent Oaks Street,China,Asia/Chongqing
695,"Hospira, Inc.",0409-3400,,73 Corry Hill,China,Asia/Chongqing
696,"Nova Homeopathic Therapeutics, Inc.",52731-7007,,4231 Riverside Trail,China,Asia/Shanghai
697,"Allergy Laboratories, Inc.",54575-214,,66747 Schurz Point,Ukraine,Europe/Zaporozhye
698,Cardinal Health,55154-0127,,715 Fieldstone Road,China,Asia/Chongqing
699,Topco Associates LLC,36800-799,,5 Delladonna Center,Ukraine,Europe/Zaporozhye
700,Keltman Pharmaceuticals Inc.,68387-410,,0 Declaration Parkway,China,Asia/Harbin
701,"NATURE REPUBLIC CO., LTD.",51346-113,,80 Dunning Plaza,China,Asia/Shanghai
702,Rebel Distributors Corp.,21695-324,3300-043,84941 Lakewood Gardens Lane,Portugal,Europe/Lisbon
703,"Watson Laboratories, Inc.",0591-3797,69245 CEDEX 05,49495 Prairie Rose Parkway,France,Europe/Paris
704,"Carver Korea Co.,Ltd",58930-063,38-473,741 Sunnyside Parkway,Poland,Europe/Warsaw
705,"Nelco Laboratories, Inc.",36987-1053,50309 CEDEX,0 Walton Center,France,Europe/Paris
706,Wakefern Food Corporation,41190-374,45296,1 Trailsway Circle,United States,America/New_York
707,Mylan Pharmaceuticals Inc.,0378-5042,22-640,90873 Bayside Trail,Poland,Europe/Warsaw
708,"Antigen Laboratories, Inc.",49288-0431,,743 Hazelcrest Terrace,China,Asia/Chongqing
709,Select Brand Distributors,15127-003,14205,3663 Bluestem Court,United States,America/New_York
710,Astellas Pharma US Inc.,0469-3575,56001,4 Carioca Circle,Lithuania,Europe/Vilnius
711,Jafra Cosmetics International Inc,68828-171,760050,350 Lien Drive,Colombia,America/Bogota
712,"Affordable Pharmaceuticals, LLC",10572-302,,4451 Summerview Plaza,China,Asia/Chongqing
713,"ATOMY CO., LTD.",52257-1202,62-090,23919 Ramsey Circle,Poland,Europe/Warsaw
714,"ABCO Laboratories, Inc.",54118-7199,,50538 Scott Point,China,Asia/Harbin
715,REMEDYREPACK INC.,52125-383,,88 Fisk Terrace,Singapore,Asia/Singapore
716,"Pliva, Inc.",50111-787,,0 1st Parkway,China,Asia/Shanghai
717,HHS/Program Support Center/Supply Service Center,11819-311,K78,28914 2nd Street,Ireland,Europe/Dublin
718,"PD-Rx Pharmaceuticals, Inc.",55289-410,T7Z,06 Marcy Junction,Canada,America/Edmonton
719,"Nelco Laboratories, Inc.",36987-1945,94263,74 Granby Way,United States,America/Los_Angeles
720,Xspire Pharma LLC,42195-210,,8 Annamark Circle,China,Asia/Shanghai
721,Dr. Reddy's Laboratories Limited,55111-320,,80 American Ash Plaza,China,Asia/Harbin
722,"Shanghai Aquagel Bio-Plymer Co., Ltd",53043-001,,36788 Stephen Junction,China,Asia/Chongqing
723,"Galena Biopharma, Inc.",57881-334,,70844 Muir Parkway,China,Asia/Harbin
724,Novadaq Technologies Inc.,66259-701,,47 4th Center,China,Asia/Shanghai
725,Uriel Pharmacy Inc,48951-1001,,7984 Beilfuss Crossing,China,Asia/Chongqing
726,"Lil' Drug Store Products, Inc.",66715-9837,4650-291,3523 Sachs Parkway,Portugal,Europe/Lisbon
727,Harmon Stores Inc.,63940-359,35015,0237 Hanover Junction,Spain,Atlantic/Canary
728,"Upsher-Smith Laboratories, Inc.",0832-0401,,7270 Dunning Center,China,Asia/Shanghai
729,"Western Family Food, Inc.",55312-053,2955-229,4686 Fordem Court,Portugal,Europe/Lisbon
730,Cardinal Health,55154-6282,,2966 Mesta Pass,China,Asia/Shanghai
731,TWB Strategic Investments Inc.,58665-001,379-2166,90443 Myrtle Point,Japan,Asia/Tokyo
732,Piramal Critical Care Inc,66794-019,,40501 Sage Parkway,Ukraine,Europe/Uzhgorod
733,"SHISEIDO CO., LTD.",52685-363,,1 Pond Place,China,Asia/Shanghai
734,"Bestco, Inc.",52642-005,2440-191,86559 Dayton Center,Portugal,Europe/Lisbon
735,Citron Pharma LLC,57237-056,34-471,7932 Beilfuss Avenue,Poland,Europe/Warsaw
736,"Salix Pharmaceuticals, Inc.",65649-551,6320-315,6 Quincy Avenue,Portugal,Europe/Lisbon
737,"EMD Serono, Inc.",44087-0022,3865-004,5 Morningstar Terrace,Portugal,Europe/Lisbon
738,Rejoice International,57337-000,,66 Dexter Trail,China,Asia/Shanghai
739,Uriel Pharmacy Inc.,48951-4057,4650-669,186 Dayton Way,Portugal,Europe/Lisbon
740,"Nelco Laboratories, Inc.",36987-1912,,158 Tennessee Lane,China,Asia/Harbin
741,NARS Cosmetics,13734-121,,87 Eastwood Terrace,China,Asia/Shanghai
742,American Health Packaging,68084-591,134548,37 Nobel Plaza,Colombia,America/Bogota
743,"Watson Laboratories, Inc.",0591-3193,,41 Banding Road,China,Asia/Chongqing
744,Apotex Corp,60505-2652,,95 Monument Crossing,China,Asia/Chongqing
745,Sanum Kehlbeck GmbH & Co. KG,60681-1704,66-418,07242 Kipling Park,Poland,Europe/Warsaw
746,"AMI Cosmetic Co.,Ltd.",59535-9401,70116,6405 Ramsey Plaza,United States,America/Chicago
747,Cardinal Health,49781-108,4930-005,02 Summit Circle,Portugal,Europe/Madrid
748,Dr. Reddys Laboratories Limited,55111-356,,21281 Scofield Terrace,China,Asia/Shanghai
749,Ranbaxy Laboratories Inc.,10631-238,,5212 Chive Point,China,Asia/Harbin
750,Methapharm Inc.,64281-100,95011 CEDEX,6 Northport Trail,France,Europe/Paris
751,"Fresenius Kabi USA, LLC",63323-117,94685 CEDEX,2846 Summit Road,France,Europe/Paris
752,State of Florida DOH Central Pharmacy,53808-0717,,64 Cordelia Avenue,China,Asia/Shanghai
753,"Therapytion Co., Ltd.",63214-100,4910-060,1 Mosinee Hill,Portugal,Europe/Lisbon
754,GlaxoSmithKline Consumer Healthcare LP,0135-0196,,86 Merry Avenue,China,Asia/Shanghai
755,American Health Packaging,68084-884,,3 Commercial Parkway,China,Asia/Shanghai
756,"Newton Laboratories, Inc.",55714-2241,79404 CEDEX,8358 Lukken Crossing,France,Europe/Paris
757,REMEDYREPACK INC.,52125-557,696 13,104 Bellgrove Hill,Czech Republic,Europe/Prague
758,Natures Way Holding Co.,53499-0133,507 43,91 5th Lane,Czech Republic,Europe/Prague
759,"Allermed Laboratories, Inc.",49643-420,336-0926,0 Summerview Lane,Japan,Asia/Tokyo
760,"ALK-Abello, Inc.",0268-1111,,3068 Atwood Court,Latvia,Europe/Riga
761,"Profoot, Inc.",29784-100,N5A,67289 Buhler Park,Canada,America/Halifax
762,"Babor Cosmetics America, Corp.",44924-012,78682,9 Pond Crossing,United States,America/Chicago
763,United Exchange Corp.,65923-385,,01 6th Lane,China,Asia/Chongqing
764,Ventura Corporation LTD.,13537-499,,269 Thompson Lane,Estonia,Europe/Tallinn
765,"Bath & Body Works, Inc.",62670-4807,,24510 Maple Circle,China,Asia/Shanghai
766,STAT Rx USA LLC,42549-553,,82782 Schurz Way,China,Asia/Harbin
767,Procter & Gamble Manufacturing Company,37000-367,L9T,63 Sachtjen Avenue,Canada,America/Vancouver
768,Sandoz Inc.,0781-5184,,77970 Erie Alley,China,Asia/Shanghai
769,McKesson (Health Mart),62011-0205,56274 CEDEX,0 Shasta Crossing,France,Europe/Paris
770,"Nelco Laboratories, Inc.",36987-1952,69-210,7130 Union Crossing,Poland,Europe/Warsaw
771,Neutrogena Corporation,10812-513,,2219 Hanson Hill,China,Asia/Chongqing
772,NASH-FINCH COMPANY,70253-375,,66 New Castle Way,China,Asia/Shanghai
773,Moore Medical LLC,55670-804,,62668 Memorial Parkway,China,Asia/Shanghai
774,Harmon Stores Inc,63940-072,533 74,7646 Marquette Avenue,Czech Republic,Europe/Prague
775,"Physicians Total Care, Inc.",54868-5673,,57218 Heffernan Place,China,Asia/Shanghai
776,"Epic Pharma, LLC",42806-020,,9 Fuller Junction,China,Asia/Chongqing
777,REMEDYREPACK INC.,49349-716,,780 Loeprich Drive,China,Asia/Shanghai
778,American Health Packaging,68084-652,T9G,4372 Oneill Junction,Canada,America/Edmonton
779,Aidarex Pharmaceuticals LLC,33261-185,53093,58779 Johnson Lane,Lithuania,Europe/Vilnius
780,Parke-Davis Div of Pfizer Inc,0071-0007,,77567 Vidon Court,China,Asia/Chongqing
781,Kramer Laboratories,55505-174,3930,58805 Wayridge Street,Norway,Europe/Oslo
782,Major Pharmaceuticals,0904-6009,,29041 Thierer Center,China,Asia/Shanghai
783,NeoStrata Company Inc.,58414-3047,62692,8855 Birchwood Parkway,Malaysia,Asia/Kuala_Lumpur
784,"ALK-Abello, Inc.",0268-0858,13369 CEDEX 11,562 Mcguire Court,France,Europe/Paris
785,Mylan Pharmaceuticals Inc.,0378-0214,13088,025 Ohio Place,Germany,Europe/Berlin
786,SAM'S WEST INC.,68196-147,,26142 Melody Trail,China,Asia/Shanghai
787,"KC Pharmaceuticals, Inc.",55651-264,D6W,82400 Everett Hill,Ireland,Europe/Dublin
788,"Onyx Pharmaceuticals, Inc.",76075-101,,9 Forster Plaza,China,Asia/Chongqing
789,Novartis Pharmaceuticals Corporation,0078-0492,,68035 Duke Point,China,Asia/Harbin
790,LernaPharm Loris Inc.,68356-109,,01 Hayes Court,China,Asia/Harbin
791,HyVee Inc,42507-903,,67 Meadow Vale Street,Latvia,Europe/Riga
792,AbbVie Inc.,0074-2108,28230,55 Onsgard Parkway,United States,America/New_York
793,"Bayer HealthCare LLC, Consumer Care",0280-4085,929-0203,18184 Nancy Road,Japan,Asia/Tokyo
794,"ProStrakan, Inc.",42747-226,3060-816,1 Sunnyside Avenue,Portugal,Europe/Lisbon
795,Family Dollar,55319-871,4580-313,652 Sherman Junction,Portugal,Europe/Lisbon
796,Par Pharmaceutical Inc.,49884-668,1391,42751 Merry Hill,Australia,Australia/Sydney
797,Citron Pharma LLC,57237-055,2440-024,20221 2nd Circle,Portugal,Europe/Lisbon
798,"ALK-Abello, Inc.",0268-1519,87-522,9911 Melrose Plaza,Poland,Europe/Warsaw
799,Bryant Ranch Prepack,63629-1250,203027,5 Lawn Lane,Colombia,America/Bogota
800,"Roxane Laboratories, Inc",0054-0119,,51 Donald Center,China,Asia/Shanghai
801,"Menper Distributors, Inc.",53145-057,4785-231,25080 Grasskamp Circle,Portugal,Europe/Lisbon
802,"Wal-Mart Stores, Inc.",49035-240,05-430,805 Roxbury Trail,Poland,Europe/Warsaw
803,L'Oreal USA Products Inc,49967-999,,429 Dwight Point,China,Asia/Shanghai
804,Seatex Ltd,76250-995,798-1354,9 2nd Center,Japan,Asia/Tokyo
805,The Kroger Co.,30142-890,,4 Commercial Lane,China,Asia/Shanghai
806,REMEDYREPACK INC.,52125-791,,7 Quincy Pass,China,Asia/Chongqing
807,KAISER FOUNDATION HOSPITALS,0179-0015,,889 Knutson Plaza,China,Asia/Chongqing
808,DR. BRONNER'S MAGIC SOAPS,55814-101,,736 Rockefeller Parkway,China,Asia/Urumqi
809,Mylan Pharmaceuticals Inc.,0378-0347,589 01,5 Scott Circle,Czech Republic,Europe/Prague
810,Rising Pharmaceuticals Inc.,64980-163,869-1237,23 Cascade Lane,Japan,Asia/Tokyo
811,Dr. Reddy's Laboratories Ltd,55111-475,93175 CEDEX,2963 Oxford Crossing,France,Europe/Paris
812,"Kareway Product, Inc.",67510-0012,,6 Logan Plaza,China,Asia/Chongqing
813,ATOMY CO LTD,52257-1002,3090-710,334 Declaration Crossing,Portugal,Europe/Lisbon
814,Wal-Mart Stores Inc,49035-515,680568,542 Stang Drive,Colombia,America/Bogota
815,International Nature Nutraceuticals,51367-021,,46287 Old Gate Trail,China,Asia/Chongqing
816,Dr. Reddys Laboratories Limited,55111-356,8304,89 Raven Center,Netherlands,Europe/Amsterdam
817,"Antigen Laboratories, Inc.",49288-0485,93154 CEDEX,79462 Golf View Avenue,France,Europe/Paris
818,State of Florida DOH Central Pharmacy,53808-0982,391 75,2 Kingsford Trail,Czech Republic,Europe/Prague
819,"NCS HealthCare of KY, Inc dba Vangard Labs",0615-7590,5857,609 Artisan Place,Norway,Europe/Oslo
820,Guthy-Renker LLC,11410-804,,1110 Di Loreto Park,China,Asia/Chongqing
821,BCM Cosmetique SAS,61589-6007,N8M,22926 Moland Junction,Canada,America/Regina
822,Aidarex Pharmaceuticals LLC,33261-090,66-542,3084 Johnson Drive,Poland,Europe/Warsaw
823,"Golden State Medical Supply, Inc.",60429-939,77109 CEDEX,0 Butternut Hill,France,Europe/Paris
824,"American Regent, Inc.",0517-1071,94975,240 Farragut Circle,United States,America/Los_Angeles
825,sanofi-aventis U.S. LLC,0024-0335,999-8317,14000 Fuller Circle,Japan,Asia/Tokyo
826,Reckitt Benckiser LLC,63824-196,77453 CEDEX 2,33861 Union Center,France,Europe/Paris
827,Sun Pharma Global FZE,47335-820,T4T,17 Oak Valley Way,Canada,America/Edmonton
828,"Nelco Laboratories, Inc.",36987-1627,,1 Grayhawk Center,China,Asia/Chongqing
829,Ranbaxy Pharmaceuticals Inc.,63304-452,,55 Summerview Court,China,Asia/Harbin
830,Cardinal Health,55154-6950,1062,85 Bashford Drive,Hungary,Europe/Budapest
831,L Perrigo Company,0113-0310,,9 Westend Parkway,China,Asia/Chongqing
832,"ALK-Abello, Inc.",0268-6221,01-943,30 David Crossing,Poland,Europe/Warsaw
833,"Nelco Laboratories, Inc.",36987-2166,2870-005,8988 Elgar Parkway,Portugal,Europe/Lisbon
834,AstraZeneca LP,0186-5040,73295 CEDEX,26241 Dunning Lane,France,Europe/Paris
835,"ZRG DETOX, INC.",62630-001,,290 Heffernan Avenue,China,Asia/Chongqing
836,McKesson,62011-0100,4690-580,70455 Anderson Pass,Portugal,Europe/Lisbon
837,Energetix Corp,64578-0068,,02 Michigan Junction,China,Asia/Chongqing
838,Major Pharmaceuticals,0904-2613,664 56,9920 Holy Cross Way,Czech Republic,Europe/Prague
839,RiconPharma LLC.,51125-006,,6945 Londonderry Street,China,Asia/Chongqing
840,"MedVantx, Inc.",66116-455,08030,74 Dayton Terrace,Spain,Europe/Madrid
841,"Hawthorn Pharmaceuticals, Inc.",63717-871,30323,40734 Blue Bill Park Court,United States,America/New_York
842,REMEDYREPACK INC.,49349-547,,03 Quincy Way,Ukraine,Europe/Kiev
843,Colgate-Palmolive Company,35000-865,703058,0 Steensland Place,Colombia,America/Bogota
844,REMEDYREPACK INC.,49349-900,,2503 Clyde Gallagher Avenue,China,Asia/Harbin
845,VVF Illinois Services,51815-209,,1 Superior Point,China,Asia/Chongqing
846,"NATURE REPUBLIC CO., LTD.",51346-043,2435-127,69 Red Cloud Road,Portugal,Europe/Lisbon
847,REMEDYREPACK INC.,52125-918,,3 Maple Junction,China,Asia/Chongqing
848,Aidarex Pharmaceuticals LLC,33261-858,,5 Express Road,China,Asia/Shanghai
849,Kimberly-Clark Corporation,55118-565,,3 Blaine Trail,China,Asia/Shanghai
850,Natural Health Supply,64117-967,4750-771,1 Hayes Hill,Portugal,Europe/Lisbon
851,"PharmaForce, Inc.",40042-025,,529 East Terrace,China,Asia/Shanghai
852,Ranbaxy Pharmaceuticals Inc.,63304-497,,7 Kings Street,China,Asia/Chongqing
853,DZA Brands LLC,55316-535,33129,97 Northview Drive,United States,America/New_York
854,Insight Pharmaceuticals LLC,63736-310,,2 Utah Circle,China,Asia/Chongqing
855,REMEDYREPACK INC.,49349-622,33715,2 La Follette Road,United States,America/New_York
856,ARMY AND AIR FORCE EXCHANGE SERVICE,55301-351,,7 Evergreen Place,China,Asia/Shanghai
857,"Janssen Pharmaceutical, Inc.",50458-592,B3S,389 Crownhardt Pass,Canada,America/Vancouver
858,CVS Pharmacy,59779-536,,51772 Forest Drive,China,Asia/Shanghai
859,STAT Rx USA LLC,42549-597,57990,0 Armistice Hill,Malaysia,Asia/Kuala_Lumpur
860,"PD-Rx Pharmaceuticals, Inc.",43063-509,WC2H,348 Scoville Plaza,United Kingdom,Europe/London
861,"Janssen Pharmaceuticals, Inc.",50458-925,,3 Caliangt Road,China,Asia/Chongqing
862,"Dispensing Solutions, Inc.",66336-537,H9P,39570 6th Park,Canada,America/Vancouver
863,American Red Cross,52164-1101,20436,18545 Nancy Place,United States,America/New_York
864,Merck Sharp & Dohme Corp.,0085-1334,,718 Melrose Place,China,Asia/Chongqing
865,McKesson,49348-023,L33,0712 Fordem Plaza,United Kingdom,Europe/London
866,"Chattem, Inc.",41167-6021,549 01,5844 Nancy Road,Czech Republic,Europe/Prague
867,"Aphena Pharma Solutions - Tennessee, LLC",43353-811,7737,853 Sunfield Way,Norway,Europe/Oslo
868,"Physicians Total Care, Inc.",54868-5432,,73 Springview Street,China,Asia/Shanghai
869,Acme United Corp.,0924-1807,63-301,7932 Colorado Trail,Poland,Europe/Warsaw
870,Strides Arcolab Limited,64380-720,,297 Autumn Leaf Trail,China,Asia/Harbin
871,"H.J. Harkins Company, Inc.",52959-746,731027,8943 Badeau Alley,Colombia,America/Bogota
